Team,Date,Event,Opponent,OpponentCountry,Map,TeamScore,OpponentScore,W/L
Goliath,2023/06/11,ESEA Spring 2023 Cash Cup 7 South Africa,Nixuh,South Africa,Mirage,7,16,L
Goliath,2023/06/11,ESEA Spring 2023 Cash Cup 7 South Africa,Nixuh,South Africa,Inferno,16,11,W
Goliath,2023/06/11,ESEA Spring 2023 Cash Cup 7 South Africa,Nixuh,South Africa,Overpass,11,16,L
Goliath,2023/04/21,ESL Challenger Katowice 2023 South Africa Open Qualifier,Nixuh,South Africa,Inferno,7,16,L
Goliath,2023/04/21,ESL Challenger Katowice 2023 South Africa Open Qualifier,Nixuh,South Africa,Mirage,11,16,L
Goliath,2023/02/24,BLAST.tv Paris Major 2023 Middle East RMR Closed Qualifier,Twisted Minds,Syria,Mirage,0,16,L
Goliath,2022/09/24,Telkom VS Gaming Masters 2022,Nixuh,South Africa,Inferno,7,16,L
Goliath,2022/09/24,Telkom VS Gaming Masters 2022,Nixuh,South Africa,Dust2,6,16,L
Goliath,2022/09/23,Telkom VS Gaming Masters 2022,blacklaminate,South Africa,Dust2,16,11,W
Goliath,2022/09/23,Telkom VS Gaming Masters 2022,blacklaminate,South Africa,Mirage,12,16,L
Goliath,2022/09/23,Telkom VS Gaming Masters 2022,blacklaminate,South Africa,Vertigo,16,2,W
Goliath,2022/09/02,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Bravado,South Africa,Dust2,15,19,L
Goliath,2022/09/02,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Bravado,South Africa,Nuke,8,16,L
Goliath,2022/09/02,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Bravado,South Africa,Mirage,16,11,W
Goliath,2022/09/02,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Nixuh,South Africa,Inferno,2,16,L
Goliath,2022/09/02,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Nixuh,South Africa,Mirage,8,16,L
Goliath,2022/09/01,ESL Challenger Rotterdam 2022 South Africa Open Qualifier 2,blacklaminate,South Africa,Inferno,16,7,W
Goliath,2022/09/01,ESL Challenger Rotterdam 2022 South Africa Open Qualifier 2,blacklaminate,South Africa,Mirage,16,8,W
Goliath,2022/08/30,ESL Challenger Rotterdam 2022 South Africa Open Qualifier 1,Bravado,South Africa,Inferno,17,19,L
Goliath,2022/08/30,ESL Challenger Rotterdam 2022 South Africa Open Qualifier 1,Bravado,South Africa,Nuke,16,11,W
Goliath,2022/08/30,ESL Challenger Rotterdam 2022 South Africa Open Qualifier 1,Bravado,South Africa,Mirage,8,16,L
Goliath,2021/12/19,ESEA Intermediate Season 39 South Africa,Bravado,South Africa,Inferno,16,10,W
Goliath,2021/12/19,ESEA Intermediate Season 39 South Africa,Bravado,South Africa,Nuke,16,12,W
Goliath,2021/10/17,ESEA Autumn 2021 Cash Cup South Africa,Bravado,South Africa,Mirage,16,8,W
Goliath,2021/10/17,ESEA Autumn 2021 Cash Cup South Africa,Bravado,South Africa,Inferno,16,11,W
Goliath,2021/10/17,ESEA Autumn 2021 Cash Cup South Africa,DNMK,South Africa,Vertigo,16,11,W
Goliath,2021/10/17,ESEA Autumn 2021 Cash Cup South Africa,DNMK,South Africa,Inferno,16,10,W
Goliath,2021/09/24,Telkom VS Gaming Masters 2021,Sinister5,South Africa,Overpass,10,16,L
Goliath,2021/09/24,Telkom VS Gaming Masters 2021,Sinister5,South Africa,Dust2,19,16,W
Goliath,2021/09/24,Telkom VS Gaming Masters 2021,Sinister5,South Africa,Vertigo,7,16,L
Goliath,2021/04/18,EGL One Season 2,ATK,South Africa,Mirage,10,16,L
Goliath,2021/04/18,EGL One Season 2,ATK,South Africa,Inferno,12,16,L
Goliath,2021/04/18,EGL One Season 2,ATK,South Africa,Nuke,14,16,L
Goliath,2021/04/18,EGL One Season 2,ATK,South Africa,Dust2,22,19,W
Goliath,2021/04/17,EGL One Season 2,DNMK,South Africa,Dust2,22,20,W
Goliath,2021/04/17,EGL One Season 2,DNMK,South Africa,Mirage,10,16,L
Goliath,2021/04/17,EGL One Season 2,DNMK,South Africa,Inferno,16,6,W
Goliath,2021/04/16,EGL One Season 2,ATK,South Africa,Dust2,14,16,L
Goliath,2021/04/16,EGL One Season 2,ATK,South Africa,Mirage,7,16,L
Goliath,2021/04/14,ESEA Intermediate Season 36 South Africa,ATK,South Africa,Mirage,14,16,L
Goliath,2021/04/14,ESEA Intermediate Season 36 South Africa,ATK,South Africa,Inferno,11,16,L
Goliath,2021/04/07,ESEA Intermediate Season 36 South Africa,DNMK,South Africa,Inferno,16,12,W
Goliath,2021/04/07,ESEA Intermediate Season 36 South Africa,DNMK,South Africa,Dust2,16,7,W
Goliath,2020/09/26,Telkom VS Gaming Masters 2020,DNMK,South Africa,Dust2,5,16,L
Goliath,2020/09/26,Telkom VS Gaming Masters 2020,DNMK,South Africa,Vertigo,12,16,L
Goliath,2020/09/26,Telkom VS Gaming Masters 2020,DNMK,South Africa,Inferno,16,12,W
Goliath,2020/09/24,Telkom VS Gaming Masters 2020,ATK,South Africa,Mirage,7,16,L
Goliath,2020/09/24,Telkom VS Gaming Masters 2020,ATK,South Africa,Inferno,14,16,L
Goliath,2020/08/09,Gamedock Cup 1,ATK,South Africa,Overpass,6,16,L
Goliath,2020/08/09,Gamedock Cup 1,ATK,South Africa,Mirage,11,16,L
Goliath,2020/07/15,ESEA Open Season 34 South Africa,ATK,South Africa,Train,3,16,L
Goliath,2020/07/15,ESEA Open Season 34 South Africa,ATK,South Africa,Dust2,4,16,L
Goliath,2020/04/01,ESEA Open Season 33 South Africa,Big 5,South Africa,Mirage,16,5,W
Goliath,2020/04/01,ESEA Open Season 33 South Africa,Big 5,South Africa,Nuke,16,6,W
Goliath,2020/03/06,Asia Minor Middle East Closed Qualifier - ESL One Rio 2020,Aequus,Israel,Vertigo,2,16,L
Goliath,2020/03/06,Asia Minor Middle East Closed Qualifier - ESL One Rio 2020,Aequus,Israel,Mirage,4,16,L
Goliath,2020/03/05,Asia Minor Middle East Closed Qualifier - ESL One Rio 2020,Yalla,Lebanon,Inferno,4,16,L
Goliath,2020/03/05,Asia Minor Middle East Closed Qualifier - ESL One Rio 2020,Yalla,Lebanon,Train,17,19,L
Goliath,2020/03/05,Asia Minor Middle East Closed Qualifier - ESL One Rio 2020,NASR,Jordan,Mirage,16,6,W
Goliath,2020/03/05,Asia Minor Middle East Closed Qualifier - ESL One Rio 2020,NASR,Jordan,Inferno,11,16,L
Goliath,2020/03/05,Asia Minor Middle East Closed Qualifier - ESL One Rio 2020,NASR,Jordan,Overpass,16,12,W
Goliath,2019/12/08,DreamHack Delhi Invitational 2019,HellRaisers,Ukraine,Inferno,8,16,L
Goliath,2019/12/08,DreamHack Delhi Invitational 2019,HellRaisers,Ukraine,Overpass,6,16,L
Goliath,2019/12/06,DreamHack Delhi Invitational 2019,pro100,Russia,Train,8,16,L
Goliath,2019/12/06,DreamHack Delhi Invitational 2019,pro100,Russia,Inferno,11,16,L
Goliath,2019/12/06,DreamHack Delhi Invitational 2019,5orgless,India,Inferno,16,10,W
Goliath,2019/12/06,DreamHack Delhi Invitational 2019,5orgless,India,Train,16,9,W
Goliath,2019/11/25,ESEA Open Season 32 South Africa,Sinister5,South Africa,Nuke,7,16,L
Goliath,2019/11/25,ESEA Open Season 32 South Africa,Sinister5,South Africa,Train,13,16,L
Goliath,2019/09/29,Mettlestate ROG Invitational,Sinister5,South Africa,Inferno,16,9,W
Goliath,2019/09/29,Mettlestate ROG Invitational,Sinister5,South Africa,Dust2,16,11,W
Goliath,2019/09/29,Mettlestate ROG Invitational,Energy,South Africa,Mirage,16,10,W
Goliath,2019/09/29,Mettlestate ROG Invitational,Energy,South Africa,Overpass,16,13,W
Goliath,2019/09/29,Mettlestate ROG Invitational,Energy,South Africa,Inferno,12,16,L
Goliath,2019/09/28,Mettlestate ROG Invitational,Sinister5,South Africa,Nuke,11,16,L
Goliath,2019/09/22,Telkom VS Gaming Masters 2019,Energy,South Africa,Inferno,8,16,L
Goliath,2019/09/22,Telkom VS Gaming Masters 2019,Energy,South Africa,Vertigo,12,16,L
Goliath,2019/09/21,Telkom VS Gaming Masters 2019,Exdee,South Africa,Mirage,19,16,W
Goliath,2019/09/21,Telkom VS Gaming Masters 2019,Exdee,South Africa,Nuke,16,13,W
Goliath,2019/08/04,Syntech Masters,Sinister5,South Africa,Train,16,6,W
Goliath,2019/08/04,Syntech Masters,Sinister5,South Africa,Mirage,16,10,W
Goliath,2019/08/04,Syntech Masters,Sinister5,South Africa,Dust2,16,3,W
Goliath,2019/08/03,Syntech Masters,White Rabbit,South Africa,Inferno,16,7,W
Goliath,2019/08/03,Syntech Masters,White Rabbit,South Africa,Dust2,16,8,W
Goliath,2019/08/02,Syntech Masters,Big 5,South Africa,Train,16,9,W
Goliath,2019/08/02,Syntech Masters,Big 5,South Africa,Inferno,16,12,W
Goliath,2019/08/02,Syntech Masters,Big 5,South Africa,Mirage,7,16,L
Goliath,2019/07/19,ESEA Open Season 31 South Africa,Sinister5,South Africa,Overpass,16,4,W
Goliath,2019/07/19,ESEA Open Season 31 South Africa,Sinister5,South Africa,Inferno,19,22,L
Goliath,2019/07/19,ESEA Open Season 31 South Africa,Sinister5,South Africa,Nuke,16,10,W
Goliath,2019/07/10,ESEA Open Season 31 South Africa,Energy,South Africa,Overpass,16,4,W
Goliath,2019/07/10,ESEA Open Season 31 South Africa,Energy,South Africa,Vertigo,28,25,W
Goliath,2019/07/06,VS Gaming CS:GO Championship 2019,Energy,South Africa,Overpass,4,16,L
Goliath,2019/07/06,VS Gaming CS:GO Championship 2019,Energy,South Africa,Train,13,16,L
Goliath,2019/07/06,VS Gaming CS:GO Championship 2019,Energy,South Africa,Mirage,16,7,W
Goliath,2019/07/06,VS Gaming CS:GO Championship 2019,Big 5,South Africa,Inferno,26,28,L
Goliath,2019/07/06,VS Gaming CS:GO Championship 2019,Big 5,South Africa,Mirage,1,16,L
Goliath,2019/05/28,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Energy,South Africa,Train,11,16,L
Goliath,2019/05/28,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Energy,South Africa,Nuke,16,5,W
Goliath,2019/05/28,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Energy,South Africa,Inferno,13,16,L
Goliath,2019/05/27,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Energy,South Africa,Overpass,16,8,W
Goliath,2019/05/27,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Energy,South Africa,Nuke,16,8,W
Goliath,2019/05/26,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,TOLY,South Africa,Dust2,16,11,W
Goliath,2019/05/26,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,TOLY,South Africa,Inferno,16,6,W
Goliath,2019/05/26,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,ViNCO,South Africa,Mirage,16,1,W
Goliath,2019/05/26,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,ViNCO,South Africa,Inferno,16,9,W
Goliath,2019/05/15,Asia Minor CSA Open Qualifier 1 - StarLadder Major 2019,TOLY,South Africa,Inferno,16,5,W
Goliath,2019/05/15,Asia Minor CSA Open Qualifier 1 - StarLadder Major 2019,TOLY,South Africa,Dust2,16,5,W
Goliath,2018/12/08,WESG 2018 South Africa,Energy,South Africa,Overpass,12,16,L
Goliath,2018/12/08,WESG 2018 South Africa,Energy,South Africa,Cache,19,17,W
Goliath,2018/12/08,WESG 2018 South Africa,Energy,South Africa,Mirage,14,16,L
Goliath,2018/09/16,VS Gaming Masters 2018 Finals,eNergy Academy,South Africa,Mirage,6,16,L
Goliath,2018/09/16,VS Gaming Masters 2018 Finals,eNergy Academy,South Africa,Inferno,5,16,L
Goliath,2018/09/15,VS Gaming Masters 2018 Finals,Big 5,South Africa,Dust2,5,16,L
Goliath,2018/09/15,VS Gaming Masters 2018 Finals,Big 5,South Africa,Inferno,16,12,W
Goliath,2018/09/15,VS Gaming Masters 2018 Finals,Big 5,South Africa,Mirage,3,16,L
Goliath,2018/08/08,ESEA Open Season 28 South Africa,Energy,South Africa,Mirage,1,16,L
Goliath,2018/08/08,ESEA Open Season 28 South Africa,Energy,South Africa,Inferno,0,16,L
Goliath,2018/08/01,ESEA Open Season 28 South Africa,LeetPro,South Africa,Overpass,16,9,W
Goliath,2018/08/01,ESEA Open Season 28 South Africa,LeetPro,South Africa,Mirage,16,12,W
Goliath,2018/04/12,ESEA Open Season 27 South Africa,Energy,South Africa,Mirage,5,16,L
Goliath,2018/04/12,ESEA Open Season 27 South Africa,Energy,South Africa,Inferno,13,16,L
Goliath,2017/12/07,ESEA Open Season 26 South Africa,Bravado,South Africa,Train,7,16,L
Goliath,2017/12/07,ESEA Open Season 26 South Africa,Bravado,South Africa,Cobblestone,4,16,L
Goliath,2017/11/29,ESEA Open Season 26 South Africa,Exdee,South Africa,Cache,16,7,W
Goliath,2017/11/29,ESEA Open Season 26 South Africa,Exdee,South Africa,Cobblestone,16,8,W
Goliath,2017/08/14,ESEA Open Season 25 South Africa,Energy,South Africa,Cache,4,16,L
Goliath,2017/08/14,ESEA Open Season 25 South Africa,Energy,South Africa,Overpass,11,16,L
Punishers,2024/09/29,Telkom VS Gaming Masters 2024 Finals,Exceed,South Africa,Nuke,13,10,W
Punishers,2024/09/29,Telkom VS Gaming Masters 2024 Finals,Exceed,South Africa,Dust2,9,13,L
Punishers,2024/09/29,Telkom VS Gaming Masters 2024 Finals,Exceed,South Africa,Ancient,13,8,W
Punishers,2024/09/29,Telkom VS Gaming Masters 2024 Finals,Exceed,South Africa,Inferno,13,10,W
Punishers,2024/09/28,Telkom VS Gaming Masters 2024 Finals,Monarch Realm,South Africa,Ancient,13,7,W
Punishers,2024/09/28,Telkom VS Gaming Masters 2024 Finals,Monarch Realm,South Africa,Anubis,13,6,W
Punishers,2024/08/21,Perfect World Shanghai Major 2024 ZA RMR Open Qualifier,Bravado,South Africa,Ancient,9,13,L
Punishers,2024/08/21,Perfect World Shanghai Major 2024 ZA RMR Open Qualifier,EXDHQ,South Africa,Inferno,13,5,W
Punishers,2024/08/21,Perfect World Shanghai Major 2024 ZA RMR Open Qualifier,EXDHQ,South Africa,Ancient,13,10,W
DNMK,2023/04/24,ESL Challenger Katowice 2023 South Africa Closed Qualifier,VYBN,South Africa,Overpass,13,16,L
DNMK,2023/04/24,ESL Challenger Katowice 2023 South Africa Closed Qualifier,VYBN,South Africa,Ancient,16,9,W
DNMK,2023/04/24,ESL Challenger Katowice 2023 South Africa Closed Qualifier,VYBN,South Africa,Mirage,10,16,L
DNMK,2023/04/24,ESL Challenger Katowice 2023 South Africa Closed Qualifier,Nixuh,South Africa,Ancient,14,16,L
DNMK,2023/04/24,ESL Challenger Katowice 2023 South Africa Closed Qualifier,Nixuh,South Africa,Inferno,1,16,L
DNMK,2023/04/21,ESL Challenger Katowice 2023 South Africa Open Qualifier,XvG Miracle,South Africa,Ancient,16,7,W
DNMK,2023/04/21,ESL Challenger Katowice 2023 South Africa Open Qualifier,XvG Miracle,South Africa,Overpass,16,3,W
DNMK,2023/02/24,BLAST.tv Paris Major 2023 Middle East RMR Closed Qualifier,GhostFaces,Lebanon,Inferno,12,16,L
DNMK,2023/02/24,BLAST.tv Paris Major 2023 Middle East RMR Closed Qualifier,GhostFaces,Lebanon,Mirage,9,16,L
DNMK,2022/09/03,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Bravado,South Africa,Nuke,16,19,L
DNMK,2022/09/03,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Bravado,South Africa,Dust2,9,16,L
DNMK,2022/09/02,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Nixuh,South Africa,Nuke,5,16,L
DNMK,2022/09/02,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Nixuh,South Africa,Inferno,5,16,L
DNMK,2022/09/02,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Bravado,South Africa,Nuke,16,12,W
DNMK,2022/09/02,ESL Challenger Rotterdam 2022 South Africa Closed Qualifier,Bravado,South Africa,Inferno,16,12,W
DNMK,2022/09/01,ESL Challenger Rotterdam 2022 South Africa Open Qualifier 2,Vdrxp,South Africa,Overpass,16,1,W
DNMK,2022/09/01,ESL Challenger Rotterdam 2022 South Africa Open Qualifier 2,Vdrxp,South Africa,Inferno,16,7,W
DNMK,2022/08/30,ESL Challenger Rotterdam 2022 South Africa Open Qualifier 1,Nixuh,South Africa,Dust2,11,16,L
DNMK,2022/08/30,ESL Challenger Rotterdam 2022 South Africa Open Qualifier 1,Nixuh,South Africa,Inferno,8,16,L
DNMK,2021/10/17,ESEA Autumn 2021 Cash Cup South Africa,Goliath,South Africa,Vertigo,11,16,L
DNMK,2021/10/17,ESEA Autumn 2021 Cash Cup South Africa,Goliath,South Africa,Inferno,10,16,L
DNMK,2021/10/11,ESEA Intermediate Season 38 South Africa,Bravado,South Africa,Mirage,10,16,L
DNMK,2021/10/11,ESEA Intermediate Season 38 South Africa,Bravado,South Africa,Inferno,4,16,L
DNMK,2021/09/26,Telkom VS Gaming Masters 2021,Bravado,South Africa,Dust2,6,16,L
DNMK,2021/09/26,Telkom VS Gaming Masters 2021,Bravado,South Africa,Ancient,13,16,L
DNMK,2021/09/26,Telkom VS Gaming Masters 2021,Bravado,South Africa,Mirage,8,16,L
DNMK,2021/09/26,Telkom VS Gaming Masters 2021,Bravado,South Africa,Inferno,19,17,W
DNMK,2021/09/24,Telkom VS Gaming Masters 2021,Bravado,South Africa,Dust2,16,11,W
DNMK,2021/09/24,Telkom VS Gaming Masters 2021,Bravado,South Africa,Inferno,9,16,L
DNMK,2021/09/24,Telkom VS Gaming Masters 2021,Bravado,South Africa,Mirage,16,8,W
DNMK,2021/07/25,ESEA Summer 2021 Cash Cup South Africa,Bravado,South Africa,Nuke,6,16,L
DNMK,2021/07/25,ESEA Summer 2021 Cash Cup South Africa,Bravado,South Africa,Mirage,14,16,L
DNMK,2021/07/12,ESEA Intermediate Season 37 South Africa,Bravado,South Africa,Mirage,14,16,L
DNMK,2021/07/12,ESEA Intermediate Season 37 South Africa,Bravado,South Africa,Dust2,10,16,L
DNMK,2021/04/25,ESEA Spring 2021 Cash Cup South Africa,Bravado,South Africa,Inferno,14,16,L
DNMK,2021/04/25,ESEA Spring 2021 Cash Cup South Africa,Bravado,South Africa,Mirage,13,16,L
DNMK,2021/04/25,ESEA Spring 2021 Cash Cup South Africa,Bravado,South Africa,Dust2,16,10,W
DNMK,2021/04/17,EGL One Season 2,Goliath,South Africa,Dust2,20,22,L
DNMK,2021/04/17,EGL One Season 2,Goliath,South Africa,Mirage,16,10,W
DNMK,2021/04/17,EGL One Season 2,Goliath,South Africa,Inferno,6,16,L
DNMK,2021/04/15,EGL One Season 2,Sinister5,South Africa,Train,16,3,W
DNMK,2021/04/15,EGL One Season 2,Sinister5,South Africa,Vertigo,8,16,L
DNMK,2021/04/15,EGL One Season 2,Sinister5,South Africa,Mirage,16,5,W
DNMK,2021/04/07,ESEA Intermediate Season 36 South Africa,Goliath,South Africa,Inferno,12,16,L
DNMK,2021/04/07,ESEA Intermediate Season 36 South Africa,Goliath,South Africa,Dust2,7,16,L
DNMK,2021/01/31,Gamedock Predator Summer Slam 2021,ATK,South Africa,Mirage,8,16,L
DNMK,2021/01/31,Gamedock Predator Summer Slam 2021,ATK,South Africa,Nuke,8,16,L
DNMK,2021/01/31,Gamedock Predator Summer Slam 2021,ATK,South Africa,Inferno,19,15,W
DNMK,2020/09/27,Telkom VS Gaming Masters 2020,ATK,South Africa,Mirage,5,16,L
DNMK,2020/09/27,Telkom VS Gaming Masters 2020,ATK,South Africa,Nuke,10,16,L
DNMK,2020/09/27,Telkom VS Gaming Masters 2020,ATK,South Africa,Inferno,12,16,L
DNMK,2020/09/26,Telkom VS Gaming Masters 2020,Goliath,South Africa,Dust2,16,5,W
DNMK,2020/09/26,Telkom VS Gaming Masters 2020,Goliath,South Africa,Vertigo,16,12,W
DNMK,2020/09/26,Telkom VS Gaming Masters 2020,Goliath,South Africa,Inferno,12,16,L
DNMK,2020/09/25,Telkom VS Gaming Masters 2020,Sinister5,South Africa,Train,16,5,W
DNMK,2020/09/25,Telkom VS Gaming Masters 2020,Sinister5,South Africa,Inferno,16,10,W
blacklaminate,2022/10/30,ESEA Autumn 2022 Cash Cup 3 South Africa,Nixuh,South Africa,Dust2,8,16,L
blacklaminate,2022/10/30,ESEA Autumn 2022 Cash Cup 3 South Africa,Nixuh,South Africa,Inferno,12,16,L
blacklaminate,2022/10/30,ESEA Autumn 2022 Cash Cup 3 South Africa,Nixuh,South Africa,Nuke,16,14,W
blacklaminate,2022/09/23,Telkom VS Gaming Masters 2022,Goliath,South Africa,Dust2,11,16,L
blacklaminate,2022/09/23,Telkom VS Gaming Masters 2022,Goliath,South Africa,Mirage,16,12,W
blacklaminate,2022/09/23,Telkom VS Gaming Masters 2022,Goliath,South Africa,Vertigo,2,16,L
blacklaminate,2022/09/01,ESL Challenger Rotterdam 2022 South Africa Open Qualifier 2,Goliath,South Africa,Inferno,7,16,L
blacklaminate,2022/09/01,ESL Challenger Rotterdam 2022 South Africa Open Qualifier 2,Goliath,South Africa,Mirage,8,16,L
Energy,2020/11/18,ESEA Open Season 35 South Africa,ATK,South Africa,Dust2,6,16,L
Energy,2020/11/18,ESEA Open Season 35 South Africa,ATK,South Africa,Inferno,8,16,L
Energy,2019/09/29,Mettlestate ROG Invitational,Goliath,South Africa,Mirage,10,16,L
Energy,2019/09/29,Mettlestate ROG Invitational,Goliath,South Africa,Overpass,13,16,L
Energy,2019/09/29,Mettlestate ROG Invitational,Goliath,South Africa,Inferno,16,12,W
Energy,2019/09/29,Mettlestate ROG Invitational,Big 5,South Africa,Train,16,8,W
Energy,2019/09/29,Mettlestate ROG Invitational,Big 5,South Africa,Overpass,16,13,W
Energy,2019/09/29,Mettlestate ROG Invitational,Big 5,South Africa,Inferno,16,19,L
Energy,2019/09/22,Telkom VS Gaming Masters 2019,Big 5,South Africa,Inferno,19,16,W
Energy,2019/09/22,Telkom VS Gaming Masters 2019,Big 5,South Africa,Overpass,16,13,W
Energy,2019/09/22,Telkom VS Gaming Masters 2019,Big 5,South Africa,Mirage,11,16,L
Energy,2019/09/22,Telkom VS Gaming Masters 2019,Goliath,South Africa,Inferno,16,8,W
Energy,2019/09/22,Telkom VS Gaming Masters 2019,Goliath,South Africa,Vertigo,16,12,W
Energy,2019/09/21,Telkom VS Gaming Masters 2019,Good,South Africa,Mirage,16,9,W
Energy,2019/09/21,Telkom VS Gaming Masters 2019,Good,South Africa,Dust2,16,9,W
Energy,2019/07/25,Asia Minor - StarLadder Major 2019,5POWER,China,Inferno,10,16,L
Energy,2019/07/25,Asia Minor - StarLadder Major 2019,5POWER,China,Train,3,16,L
Energy,2019/07/24,Asia Minor - StarLadder Major 2019,Grayhound,Australia,Dust2,7,16,L
Energy,2019/07/10,ESEA Open Season 31 South Africa,Goliath,South Africa,Overpass,4,16,L
Energy,2019/07/10,ESEA Open Season 31 South Africa,Goliath,South Africa,Vertigo,25,28,L
Energy,2019/07/07,VS Gaming CS:GO Championship 2019,Big 5,South Africa,Dust2,13,16,L
Energy,2019/07/07,VS Gaming CS:GO Championship 2019,Big 5,South Africa,Train,16,8,W
Energy,2019/07/07,VS Gaming CS:GO Championship 2019,Big 5,South Africa,Mirage,12,16,L
Energy,2019/07/06,VS Gaming CS:GO Championship 2019,Goliath,South Africa,Overpass,16,4,W
Energy,2019/07/06,VS Gaming CS:GO Championship 2019,Goliath,South Africa,Train,16,13,W
Energy,2019/07/06,VS Gaming CS:GO Championship 2019,Goliath,South Africa,Mirage,7,16,L
Energy,2019/07/06,VS Gaming CS:GO Championship 2019,Exdee,South Africa,Dust2,16,8,W
Energy,2019/05/28,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Goliath,South Africa,Train,16,11,W
Energy,2019/05/28,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Goliath,South Africa,Nuke,5,16,L
Energy,2019/05/28,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Goliath,South Africa,Inferno,16,13,W
Energy,2019/05/28,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Sinister5,South Africa,Overpass,16,6,W
Energy,2019/05/28,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Sinister5,South Africa,Train,16,13,W
Energy,2019/05/27,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Goliath,South Africa,Overpass,8,16,L
Energy,2019/05/27,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Goliath,South Africa,Nuke,8,16,L
Energy,2019/05/26,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Big 5,South Africa,Overpass,16,3,W
Energy,2019/05/26,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Big 5,South Africa,Dust2,9,16,L
Energy,2019/05/26,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Big 5,South Africa,Inferno,22,19,W
Energy,2019/05/26,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Exdee,South Africa,Nuke,16,3,W
Energy,2019/05/26,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Exdee,South Africa,Overpass,16,8,W
Energy,2019/05/26,Asia Minor CSA Closed Qualifier - StarLadder Major 2019,Exdee,South Africa,Mirage,7,16,L
Energy,2019/05/15,Asia Minor CSA Open Qualifier 1 - StarLadder Major 2019,White Rabbit,South Africa,Inferno,16,13,W
Energy,2019/05/15,Asia Minor CSA Open Qualifier 1 - StarLadder Major 2019,White Rabbit,South Africa,Nuke,16,4,W
Energy,2019/05/15,Asia Minor CSA Open Qualifier 1 - StarLadder Major 2019,White Rabbit,South Africa,Mirage,14,16,L
Energy,2018/12/23,DreamHack Invitational Mumbai,Bravado,South Africa,Inferno,12,16,L
Energy,2018/12/23,DreamHack Invitational Mumbai,Entity,India,Mirage,16,11,W
Energy,2018/12/21,DreamHack Invitational Mumbai,Bravado,South Africa,Mirage,6,16,L
Energy,2018/12/21,DreamHack Invitational Mumbai,Bravado,South Africa,Dust2,11,16,L
Energy,2018/12/14,PLG Grand Slam 2018,5POWER,China,Inferno,3,16,L
Energy,2018/12/14,PLG Grand Slam 2018,5POWER,China,Mirage,3,16,L
Energy,2018/12/13,PLG Grand Slam 2018,fnatic,Sweden,Mirage,3,16,L
Energy,2018/12/09,WESG 2018 South Africa,Bravado,South Africa,Overpass,7,16,L
Energy,2018/12/09,WESG 2018 South Africa,Bravado,South Africa,Dust2,5,16,L
Energy,2018/12/08,WESG 2018 South Africa,Goliath,South Africa,Overpass,16,12,W
Energy,2018/12/08,WESG 2018 South Africa,Goliath,South Africa,Cache,17,19,L
Energy,2018/12/08,WESG 2018 South Africa,Goliath,South Africa,Mirage,16,14,W
Energy,2018/08/16,ESEA Open Season 28 South Africa,Big 5,South Africa,Inferno,16,4,W
Energy,2018/08/16,ESEA Open Season 28 South Africa,Big 5,South Africa,Train,16,13,W
Energy,2018/08/08,ESEA Open Season 28 South Africa,Goliath,South Africa,Mirage,16,1,W
Energy,2018/08/08,ESEA Open Season 28 South Africa,Goliath,South Africa,Inferno,16,0,W
Energy,2018/08/01,ESEA Open Season 28 South Africa,eNergy Academy,South Africa,Mirage,16,6,W
Energy,2018/08/01,ESEA Open Season 28 South Africa,eNergy Academy,South Africa,Inferno,16,5,W
Energy,2018/04/18,ESEA Open Season 27 South Africa,Sinister5,South Africa,Cache,16,7,W
Energy,2018/04/18,ESEA Open Season 27 South Africa,Sinister5,South Africa,Cobblestone,16,2,W
Energy,2018/04/12,ESEA Open Season 27 South Africa,Goliath,South Africa,Mirage,16,5,W
