Team,Date,Event,Opponent,OpponentCountry,Map,TeamScore,OpponentScore,W/L
Bravado,2018/04/13,ESL One Belo Horizonte North America Closed Qualifier,Torqued,United States,Nuke,8,16,L
Bravado,2018/04/13,ESL One Belo Horizonte North America Closed Qualifier,Torqued,United States,Inferno,9,16,L
Bravado,2018/04/13,ESEA Main Season 27 North America,Carpe Noctem,United States,Inferno,16,6,W
Bravado,2018/04/13,ESEA Main Season 27 North America,Carpe Noctem,United States,Mirage,16,7,W
Bravado,2018/04/12,ESL One Belo Horizonte North America Open Qualifier,Etherian,United States,Inferno,16,14,W
Bravado,2018/04/12,ESL One Belo Horizonte North America Open Qualifier,Etherian,United States,Overpass,16,12,W
Bravado,2018/04/11,ESL One Belo Horizonte North America Open Qualifier,Swole Patrol,United States,Train,16,7,W
Bravado,2018/04/11,ESEA Main Season 27 North America,Mostly Harmless,Canada,Inferno,16,3,W
Bravado,2018/04/11,ESEA Main Season 27 North America,Mostly Harmless,Canada,Overpass,16,4,W
Bravado,2018/04/01,Dust2.us Masters #2,Dignitas,United States,Overpass,11,16,L
Bravado,2018/04/01,Dust2.us Masters #2,Dignitas,United States,Cache,12,16,L
Bravado,2018/04/01,Dust2.us Masters #2,Dignitas,United States,Inferno,19,16,W
Bravado,2018/03/29,IEM Sydney 2018 North America Open Qualifier,Ghost,Canada,Train,6,16,L
Bravado,2018/03/29,IEM Sydney 2018 North America Open Qualifier,Ghost,Canada,Cobblestone,14,16,L
Bravado,2018/03/28,IEM Sydney 2018 North America Open Qualifier,Mythic,United States,Train,16,13,W
Bravado,2018/03/24,DreamHack Masters Marseille 2018 North America Open Qualifier,Dignitas,United States,Mirage,6,16,L
Bravado,2018/03/15,WESG 2017 World Finals,TeamOne,Brazil,Cache,13,16,L
Bravado,2018/03/15,WESG 2017 World Finals,TeamOne,Brazil,Mirage,2,16,L
Bravado,2018/03/15,WESG 2017 World Finals,ORDER,Australia,Mirage,12,16,L
Bravado,2018/03/15,WESG 2017 World Finals,ORDER,Australia,Train,4,16,L
Bravado,2018/03/15,WESG 2017 World Finals,Space Soldiers,Turkey,Cobblestone,11,16,L
Bravado,2018/03/15,WESG 2017 World Finals,Space Soldiers,Turkey,Train,7,16,L
Bravado,2018/03/13,WESG 2017 World Finals,Envy,France,Inferno,3,16,L
Bravado,2018/03/03,ECS Season 5 North America Challenger Cup,TeamOne,Brazil,Train,11,16,L
Bravado,2018/03/03,ECS Season 5 North America Challenger Cup,TeamOne,Brazil,Cache,6,16,L
Bravado,2018/03/03,ECS Season 5 North America Challenger Cup,Complexity,North America,Cobblestone,20,22,L
Bravado,2018/03/03,ECS Season 5 North America Challenger Cup,Complexity,North America,Inferno,16,13,W
Bravado,2018/03/03,ECS Season 5 North America Challenger Cup,Complexity,North America,Cache,13,16,L
Bravado,2018/02/26,PreGame Launch Tournament 2018 North America,Torqued,United States,Nuke,11,16,L
Bravado,2018/02/26,PreGame Launch Tournament 2018 North America,Torqued,United States,Inferno,10,16,L
Bravado,2018/02/26,PreGame Launch Tournament 2018 North America,Torqued,United States,Mirage,16,6,W
Bravado,2018/02/25,PreGame Launch Tournament 2018 North America,F1-racecar-PEEK,United States,Cobblestone,16,6,W
Bravado,2018/02/25,PreGame Launch Tournament 2018 North America,F1-racecar-PEEK,United States,Cache,10,16,L
Bravado,2018/02/25,PreGame Launch Tournament 2018 North America,F1-racecar-PEEK,United States,Train,16,10,W
Bravado,2018/02/18,ECS Season 5 North America Closed Qualifier,Dignitas,United States,Inferno,16,13,W
Bravado,2018/02/18,ECS Season 5 North America Closed Qualifier,Dignitas,United States,Cobblestone,16,8,W
Bravado,2018/02/18,ECS Season 5 North America Closed Qualifier,Dignitas,United States,Mirage,7,16,L
Bravado,2018/02/17,ECS Season 5 North America Closed Qualifier,Iceberg,United States,Mirage,16,3,W
Bravado,2018/02/17,ECS Season 5 North America Closed Qualifier,Iceberg,United States,Train,12,16,L
Bravado,2018/02/17,ECS Season 5 North America Closed Qualifier,Iceberg,United States,Inferno,16,4,W
Bravado,2018/02/10,ECS Season 5 North America Qualifier #3,LFAO,United States,Cache,16,14,W
Bravado,2018/02/10,ECS Season 5 North America Qualifier #3,LFAO,United States,Mirage,11,16,L
Bravado,2018/02/10,ECS Season 5 North America Qualifier #3,LFAO,United States,Inferno,16,9,W
Bravado,2018/01/21,WESG 2017 South Africa,Damage Control,South Africa,Mirage,16,6,W
Bravado,2018/01/21,WESG 2017 South Africa,Damage Control,South Africa,Cobblestone,16,5,W
Bravado,2018/01/21,WESG 2017 South Africa,Damage Control,South Africa,Train,16,4,W
Bravado,2018/01/21,WESG 2017 South Africa,Energy,South Africa,Inferno,16,2,W
Bravado,2018/01/21,WESG 2017 South Africa,Energy,South Africa,Cache,16,10,W
Bravado,2018/01/21,WESG 2017 South Africa,Energy,South Africa,Mirage,11,16,L
Bravado,2018/01/20,WESG 2017 South Africa,Sinister5,South Africa,Mirage,16,4,W
Bravado,2017/12/14,ESEA Open Season 26 South Africa,Big 5,South Africa,Train,16,9,W
Bravado,2017/12/14,ESEA Open Season 26 South Africa,Big 5,South Africa,Cobblestone,16,2,W
Bravado,2017/12/07,ESEA Open Season 26 South Africa,Goliath,South Africa,Train,16,7,W
Bravado,2017/12/07,ESEA Open Season 26 South Africa,Goliath,South Africa,Cobblestone,16,4,W
Bravado,2017/11/30,ESEA Open Season 26 South Africa,Damage Control,South Africa,Mirage,16,6,W
Bravado,2017/11/30,ESEA Open Season 26 South Africa,Damage Control,South Africa,Cache,16,0,W
Bravado,2017/10/07,ESL African Championship Season 2 Finals,Energy,South Africa,Cobblestone,10,16,L
Bravado,2017/10/07,ESL African Championship Season 2 Finals,Energy,South Africa,Mirage,8,16,L
Bravado,2017/10/07,ESL African Championship Season 2 Finals,Energy,South Africa,Cache,2,16,L
Bravado,2017/09/04,ESEA Open Season 25 South Africa,Energy,South Africa,Mirage,16,13,W
Bravado,2017/09/04,ESEA Open Season 25 South Africa,Energy,South Africa,Cobblestone,16,5,W
Bravado,2017/08/13,ESEA Open Season 25 South Africa,Big 5,South Africa,Cache,16,5,W
Bravado,2017/08/13,ESEA Open Season 25 South Africa,Big 5,South Africa,Overpass,16,2,W
Bravado,2017/08/09,ESEA Open Season 25 South Africa,Veneration,South Africa,Inferno,16,12,W
Bravado,2017/08/09,ESEA Open Season 25 South Africa,Veneration,South Africa,Mirage,19,17,W
Bravado,2017/07/16,ESL African Championship Season 1,Energy,South Africa,Overpass,22,18,W
Bravado,2017/07/16,ESL African Championship Season 1,Energy,South Africa,Inferno,16,6,W
Bravado,2017/07/16,ESL African Championship Season 1,Energy,South Africa,Cobblestone,15,19,L
Bravado,2017/07/16,ESL African Championship Season 1,Energy,South Africa,Mirage,16,4,W
Bravado,2017/07/15,ESL African Championship Season 1,Damage Control,South Africa,Train,16,6,W
Bravado,2017/07/15,ESL African Championship Season 1,Damage Control,South Africa,Mirage,16,5,W
Bravado,2017/07/15,ESL African Championship Season 1,Damage Control,South Africa,Inferno,13,16,L
Bravado,2017/05/07,Mettlestate Galaxy CS:GO Championship 2017,Energy,South Africa,Overpass,16,9,W
Bravado,2017/05/07,Mettlestate Galaxy CS:GO Championship 2017,Energy,South Africa,Cache,16,5,W
Bravado,2017/05/07,Mettlestate Galaxy CS:GO Championship 2017,Damage Control,South Africa,Cobblestone,16,7,W
Bravado,2017/05/06,Mettlestate Galaxy CS:GO Championship 2017,Exdee,South Africa,Cobblestone,16,1,W
Bravado,2017/05/05,Mettlestate Galaxy CS:GO Championship 2017,Ventus,South Africa,Cache,16,4,W
Bravado,2017/04/23,ESEA Open Season 24 South Africa,Energy,South Africa,Train,16,6,W
Bravado,2017/04/23,ESEA Open Season 24 South Africa,Energy,South Africa,Inferno,9,16,L
Bravado,2017/04/23,ESEA Open Season 24 South Africa,Energy,South Africa,Overpass,16,14,W
Bravado,2017/04/20,ESEA Open Season 24 South Africa,Damage Control,South Africa,Cache,16,6,W
Bravado,2017/04/20,ESEA Open Season 24 South Africa,Damage Control,South Africa,Nuke,16,13,W
Bravado,2017/04/02,Mega8 Autumn Cup 2017,Energy,South Africa,Cache,16,6,W
Bravado,2017/04/02,Mega8 Autumn Cup 2017,Energy,South Africa,Mirage,16,10,W
Bravado,2017/04/01,Mega8 Autumn Cup 2017,Damage Control,South Africa,Cobblestone,16,4,W
Bravado,2017/04/01,Mega8 Autumn Cup 2017,Damage Control,South Africa,Cache,16,3,W
Bravado,2017/04/01,Mega8 Autumn Cup 2017,Energy,South Africa,Overpass,16,7,W
Bravado,2017/04/01,Mega8 Autumn Cup 2017,Energy,South Africa,Cache,16,8,W
Bravado,2017/03/31,Mega8 Autumn Cup 2017,FlipSid3 Africa,South Africa,Cache,16,5,W
Bravado,2017/03/31,Mega8 Autumn Cup 2017,FlipSid3 Africa,South Africa,Cobblestone,16,4,W
Bravado,2017/03/01,Mettlestate Exhibition Match,Energy,South Africa,Overpass,11,16,L
Bravado,2017/03/01,Mettlestate Exhibition Match,Energy,South Africa,Mirage,6,16,L
Bravado,2017/03/01,Mettlestate Exhibition Match,Energy,South Africa,Cobblestone,16,10,W
Bravado,2017/01/13,WESG 2016 World Finals,FIVE,China,Cache,16,10,W
